,date,count
0,11/30/2017,2767
1,12/1/2017,2717
2,12/2/2017,4060
3,12/3/2017,8146
4,12/4/2017,11400
5,12/5/2017,14090
6,12/6/2017,12307
7,12/7/2017,14885
8,12/8/2017,15189
9,12/9/2017,17300
10,12/10/2017,18066
11,12/11/2017,17062
12,12/12/2017,13551
13,12/13/2017,10300
14,12/14/2017,10780
15,12/15/2017,8940
16,12/16/2017,9279
17,12/17/2017,8613
18,12/18/2017,6927
19,12/19/2017,4880
20,12/20/2017,2552
21,12/21/2017,2999
22,12/22/2017,3438
23,12/23/2017,4257
24,12/24/2017,3611
25,12/25/2017,3250
26,12/26/2017,2909
27,12/27/2017,3042
28,12/28/2017,3497
29,12/29/2017,3146
30,12/30/2017,2623
31,12/31/2017,2771
32,1/1/2018,2839
33,1/2/2018,2650
34,2/15/2018,1935
35,2/24/2018,2817
36,2/25/2018,2884
37,2/26/2018,2619
38,2/27/2018,3138
39,2/28/2018,2369
40,3/1/2018,2457
41,3/2/2018,2016
42,3/3/2018,2090
43,3/6/2018,2041
44,3/7/2018,2243
45,3/8/2018,2063
46,3/9/2018,2089
47,3/10/2018,2000
48,3/11/2018,2045
49,3/12/2018,2513
50,3/14/2018,1868
51,3/24/2018,1910
52,4/13/2018,1859
53,5/8/2018,1823
54,8/22/2018,1990
55,9/9/2018,1835
56,9/19/2018,2442
57,9/20/2018,2085
58,9/26/2018,1817
59,12/5/2018,9526
60,12/7/2018,2396
61,12/8/2018,2310
62,1/13/2019,1825
63,1/20/2019,1994
64,8/7/2019,2776
65,8/12/2020,11
66,8/13/2020,27
67,9/1/2020,14
68,9/2/2020,34
69,9/17/2020,7
70,9/23/2020,1893
71,4/16/2021,41
72,4/20/2021,25
73,4/21/2021,36
74,4/22/2021,33
75,4/23/2021,41
