,date,count
0,9/19/2018,13
1,10/6/2018,8
2,10/11/2018,15
3,11/2/2018,8
4,11/22/2018,15
5,12/5/2018,25
6,12/6/2018,12
7,1/18/2019,17
8,2/14/2019,8
9,3/7/2019,8
10,3/19/2019,8
11,3/21/2019,16
12,3/22/2019,8
13,3/29/2019,25
14,4/4/2019,12
15,4/6/2019,13
16,4/9/2019,8
17,4/10/2019,18
18,4/13/2019,28
19,4/14/2019,12
20,4/15/2019,17
21,4/24/2019,31
22,4/27/2019,13
23,4/28/2019,18
24,5/2/2019,13
25,5/9/2019,15
26,5/20/2019,8
27,5/24/2019,8
28,5/31/2019,8
29,6/8/2019,8
30,6/10/2019,18
31,6/15/2019,16
32,7/8/2019,14
33,8/6/2019,23
34,8/12/2019,8
35,9/9/2019,18
36,9/10/2019,14
37,9/16/2019,42
38,9/30/2019,18
39,10/1/2019,13
40,10/4/2019,15
41,10/7/2019,15
42,10/29/2019,13
43,11/5/2019,8
44,11/6/2019,13
45,11/20/2019,37
46,11/25/2019,31
47,11/26/2019,23
48,11/28/2019,12
49,12/3/2019,15
50,12/4/2019,27
51,12/12/2019,23
52,12/17/2019,23
53,12/18/2019,29
54,12/25/2019,29
55,12/26/2019,15
56,1/1/2020,63
57,1/4/2020,13
58,1/7/2020,100
59,1/8/2020,8
60,1/14/2020,95
61,1/15/2020,13
62,1/21/2020,66
63,1/28/2020,54
64,2/4/2020,67
65,2/5/2020,38
66,2/7/2020,13
67,2/11/2020,24
68,2/12/2020,30
69,2/18/2020,87
70,2/25/2020,60
71,2/26/2020,18
72,3/3/2020,75
73,3/4/2020,8
74,3/10/2020,31
75,3/11/2020,27
76,3/12/2020,32
77,3/17/2020,64
78,3/24/2020,56
79,3/31/2020,67
80,4/7/2020,46
81,4/8/2020,22
82,4/21/2020,8
83,5/8/2020,32
84,5/13/2020,67
85,5/20/2020,77
86,5/27/2020,22
87,6/3/2020,70
88,6/4/2020,16
89,6/10/2020,73
90,6/17/2020,55
91,6/24/2020,62
92,6/25/2020,12
93,7/1/2020,61
94,7/2/2020,12
95,7/8/2020,29
96,7/14/2020,28
97,7/15/2020,14
98,7/29/2020,22
99,8/18/2020,31
100,8/26/2020,40
101,9/8/2020,35
102,9/15/2020,33
103,9/16/2020,13
104,9/22/2020,48
105,9/29/2020,65
106,10/5/2020,8
107,10/6/2020,60
108,10/8/2020,18
109,10/9/2020,24
110,10/20/2020,30
111,10/27/2020,8
112,10/28/2020,49
113,11/4/2020,31
114,11/5/2020,24
115,11/11/2020,22
116,11/12/2020,25
117,11/18/2020,27
118,11/19/2020,22
119,11/25/2020,15
120,11/26/2020,8
121,12/2/2020,27
122,12/3/2020,16
123,1/21/2021,8
124,2/4/2021,12
125,2/10/2021,17
126,2/20/2021,12
127,2/24/2021,18
128,3/12/2021,33
129,3/16/2021,17
130,3/17/2021,15
131,3/19/2021,30
132,3/21/2021,23
133,3/23/2021,8
134,3/27/2021,39
135,3/28/2021,8
136,3/31/2021,15
137,4/3/2021,40
138,4/5/2021,8
139,4/9/2021,34
140,4/10/2021,13
141,4/11/2021,13
142,4/13/2021,13
143,4/16/2021,27
144,4/17/2021,23
145,4/21/2021,12
146,4/23/2021,50
