,date,count
0,12/05/18,17
1,12/13/2018,17
2,12/18/2018,17
3,01/03/19,17
4,01/11/19,509
5,1/19/2019,17
6,1/22/2019,1211
7,1/23/2019,1181
8,2/16/2019,308
9,2/19/2019,17
10,03/02/19,17
11,3/13/2019,17
12,06/07/19,17
13,2/18/2020,133
14,2/19/2020,134
15,2/20/2020,227
16,2/21/2020,247
17,2/22/2020,348
18,2/23/2020,541
19,2/24/2020,468
20,2/25/2020,552
21,2/26/2020,474
22,2/27/2020,393
23,2/28/2020,382
24,2/29/2020,408
25,03/01/20,342
26,03/02/20,321
27,03/03/20,153
28,03/04/20,117
29,03/05/20,130
30,04/07/20,17
31,4/15/2020,171
32,4/17/2020,119
33,05/11/20,17
34,5/19/2020,17
35,4/17/2021,17
36,4/22/2021,17
