Seller_address,Buyer_address,edge_value,Collection
0x0000000000000000000000000000000000000000,0x00668bd79ede077b99bbe1c4db59418bc333d4cf,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x00ce50f8333b5176c22ac7948993978b2e011cda,13,Cryptopunks
0x0000000000000000000000000000000000000000,0x00d29fbc981d05edba69bc0909e391a132271357,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x01ec738293d4fa32d99374a4519b450f4db2ba54,3,Cryptopunks
0x0000000000000000000000000000000000000000,0x023ef73d4c6de80dd3e52b8aae579b8f0e5cbeb4,3,Cryptopunks
0x0000000000000000000000000000000000000000,0x02970c31a80f7c4b022cd30c6f9e6c1c5b6e5ef4,2,Cryptopunks
0x0000000000000000000000000000000000000000,0x033b8ffa05ea50b3fa7563a6d0115ed77839fc5c,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x033ee76d5ac6398da4d8c8955e28f71f75680ece,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x037e2847c769d20564502183f524f88baa06b389,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x052564eb0fd8b340803df55def89c25c432f43f4,3,Cryptopunks
0x0000000000000000000000000000000000000000,0x0553de51e7fa7658f0517e573d79eebbb59852f2,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x05e2461c8c10138aee241268f28de6003d3dbadb,2,Cryptopunks
0x0000000000000000000000000000000000000000,0x05e70979fd3355133f91fc7c6597a8274169b3be,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x0601d0235645a6ce6356ef11aa0b225c68605131,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x0713a6c6fd18b2c7e687c4b6f5c4dd941c4c3bc0,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x0735b34a9eb4d4cbe656919146d6b7a8807f789c,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x0873fc66dd231a9740f5f64ecb11e5e2a3d4a08e,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x090d16963720349548cd8a90fa36b3856fba43d2,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x0977614d0a9db619a4bb5352ebfa678a50c21fe6,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x09d4083ffd20d21acb9118465ad7c52ac8b548f7,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x0a405355046e87fbbef5aefd97790c8dd035cc74,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x0a4eafeb533d4111a1fe3a8b323c468976ac2323,2,Cryptopunks
0x0000000000000000000000000000000000000000,0x0a690b298f84d12414f5c8db7de1ece5a4605877,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x0ad0b792a54704dc7b6f85cbb774106d22e814d9,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x0b88fd87884080bd6d93d341fcca0eea76b03e75,7,Cryptopunks
0x0000000000000000000000000000000000000000,0x0c6295b8b5e9dad2d3ba15ef4cd4c47a4c0ae2fa,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x0d41f957181e584db82d2e316837b2de1738c477,7,Cryptopunks
0x0000000000000000000000000000000000000000,0x0da07e67c2ca3a3cfcb58af115e1c0ed64f69f96,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x0da0df4be467140e74c76257d002f52e954be4d3,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x0dc533123aa9477f2d8bebd67b36935c2d524cb4,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x0e44370ac1ffae7655bc810f5af038444ba821cb,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x0eb9a7ff5cbf719251989caf1599c1270eafb531,4,Cryptopunks
0x0000000000000000000000000000000000000000,0x0ec348908ee90adb46622bcb1ecea7f73213ff34,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x0ec629733c92aabf20cb25acdb704eb0ab63b844,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x0ecd8a50ce988862dc0e69a669159036e88ea649,2,Cryptopunks
0x0000000000000000000000000000000000000000,0x0ed6fed4df8480c1d1b3b78537cfb8f9c22a81ef,2,Cryptopunks
0x0000000000000000000000000000000000000000,0x1010595f96ab62b31bfeac411ec5f8f60db5dc23,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x10725af1f2919d0acc5cf294285d97710f980490,4,Cryptopunks
0x0000000000000000000000000000000000000000,0x10b4c1fbcc63e90b8747c6f4f7b072b516c7d439,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x11f0580a9398b497065eed311536cbd265c23aec,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x12e5e3e7a1389fed96e1be50aed32316c027b18b,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x13816f65ba8195768e6825eb774fd3c6a05a0ac8,2,Cryptopunks
0x0000000000000000000000000000000000000000,0x13f46ed75b388d748ab35134ca62abe36beb157f,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x1455f0b4c58906463f87aba9e84f101124926043,2,Cryptopunks
0x0000000000000000000000000000000000000000,0x14ae8100ea85a11bbb36578f83ab1b5c1cfdd61c,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x14e0c25b35a0fe5c62bb8eb0c8064e6fae290f8e,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x15f7320adb990020956d29edb6ba17f3d468001e,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x161f7c6f76ce2b07c1433e52e2695d3a5c59202e,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x16624b589419012a2817c47432762369c859b6e4,3,Cryptopunks
0x0000000000000000000000000000000000000000,0x1672044c7e7e0e1dcada77ae6a08b5429ca0b69c,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x1672dbd790d9fa182dcd12d8521c6e68037ead8e,5,Cryptopunks
0x0000000000000000000000000000000000000000,0x16d1e71f1c1bc6b7a3d1435d5422c767dd298b92,2,Cryptopunks
0x0000000000000000000000000000000000000000,0x18844bd235ed71b2eae02d42daa7fcaa2dfeb2e8,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x18ee9cebca35d323068e5edc5b41ffca11d605b9,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x19ac60f70adeb4948e8bf779639117e59bb2a9f6,2,Cryptopunks
0x0000000000000000000000000000000000000000,0x19f23312627e560ea0199345782528686f1f3968,8,Cryptopunks
0x0000000000000000000000000000000000000000,0x1a4d1168d2ae9d36fbce32bd4358bbd34cac1709,3,Cryptopunks
0x0000000000000000000000000000000000000000,0x1aff1e0f1d5f76f92145a278d8c31af9ade783dd,2,Cryptopunks
0x0000000000000000000000000000000000000000,0x1b2965dc3b1697dd10b7126ec7393d79cda2cf91,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x1d1ef89654fe251fef926a721c5a393dfc50b489,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x1d45f16967a6b5c485524e67868105e6145846e3,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x1da5331994e781ab0e2af9f85bfce2037a514170,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x1dabc3b1e6e6878fea60f9d9799b1cfdbb9d6aef,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x1dd533820c1ac3080a59f2b0b3990e7674fb4603,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x1e32a859d69dde58d03820f8f138c99b688d132f,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x1e9babdb4743dbaaf287352bc9d3d8c31b0ff327,2,Cryptopunks
0x0000000000000000000000000000000000000000,0x1f5f630cd698795333b37d3bffbf614bc5eaebe8,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x219688c6156edea2e2ca7e2036c1c5b7f6451169,7,Cryptopunks
0x0000000000000000000000000000000000000000,0x21cf5649ee1a9362202ebff266ef7bbc8c26a917,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x22c41c034cba2a0b71eb5ab560b0cfce3ac0c601,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x22ff031aa03a2f008e6a297cfdb1f66efbae0fff,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x23170777466de6046ff42bd5abcf525077e3ce27,2,Cryptopunks
0x0000000000000000000000000000000000000000,0x23b50b9815eedd4e2de9227aa462144b548c34cd,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x241ec774ae2cead1ab97dc9113b501c1336a25a9,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x241f57f6670b7c948410cab72226b5f3240a16ff,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x243d84f6ff73cce185d883b24bbadb74f950de31,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x257e2b4a1110f9cf09a69be7fae201c59728575f,3,Cryptopunks
0x0000000000000000000000000000000000000000,0x267e959769dfe608a578f1de63eabd18e187d8b7,2,Cryptopunks
0x0000000000000000000000000000000000000000,0x287b1574aff39811c0b38fa24aafa7f0dfc1dbd1,2,Cryptopunks
0x0000000000000000000000000000000000000000,0x289d953cf25d51abbc825faac3c260c10eda72cf,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x29b1b2d083456fd07b19649f8b85f9927a29b1ab,2,Cryptopunks
0x0000000000000000000000000000000000000000,0x2b290f41af8e0e6db68c0d8325394d8935d1d990,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x2b3ab8e7bb14988616359b78709538b10900ab7d,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x2b616914ada8484ab9d70398dbe86b029b1a9a39,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x2e519bce8de405b3939f9ee1b7443d839310f46c,1,Cryptopunks
0x0000000000000000000000000000000000000000,0x2fdacd67d255e6ee62e6fe3788dc435863b8539c,23,Cryptopunks
0x0000000000000000000000000000000000000000,0x324f6ead99aeda8b0083a4445e8df08a342e22e1,1,Cryptopunks
