Seller_address,Buyer_address,edge_value,Collection
0x000b75fcdc15d41277deb033c72d2c8d774ccced,0xbe4709c956c1963ae4bfeea23f45947789339df5,1,Cryptovoxels
0x0013d759a369091f3d2d1d1a516adaf068f67923,0x2d891ed45c4c3eab978513df4b92a35cf131d2e2,3,Cryptovoxels
0x0045233ce371ebd5797cb9ab859e14df0d6fe29b,0x2d891ed45c4c3eab978513df4b92a35cf131d2e2,5,Cryptovoxels
0x0045233ce371ebd5797cb9ab859e14df0d6fe29b,0x44e9d011df8741be2493e99297e9ad67bb1aa85b,1,Cryptovoxels
0x0045233ce371ebd5797cb9ab859e14df0d6fe29b,0x5991d5212e4ff8ae5f2e218407e697ee345f3cff,1,Cryptovoxels
0x0045233ce371ebd5797cb9ab859e14df0d6fe29b,0x6186290b28d511bff971631c916244a9fc539cfe,1,Cryptovoxels
0x0045233ce371ebd5797cb9ab859e14df0d6fe29b,0xb9bc87e399e371100f83ffc51ed44c13daf576ce,1,Cryptovoxels
0x0045233ce371ebd5797cb9ab859e14df0d6fe29b,0xd6df0319d485016ddd0d75f5d6f898cb3ecb80cf,1,Cryptovoxels
0x0045233ce371ebd5797cb9ab859e14df0d6fe29b,0xdfce59112db0388b6e5ed421edeb35576e2361ab,1,Cryptovoxels
0x00668bd79ede077b99bbe1c4db59418bc333d4cf,0x10f546a6f4d20d91e5a8506124384759c9f4bc79,1,Cryptovoxels
0x00668bd79ede077b99bbe1c4db59418bc333d4cf,0x4174b7ba417b51f063eaf41a5cdf71938d226545,1,Cryptovoxels
0x00668bd79ede077b99bbe1c4db59418bc333d4cf,0x44e9d011df8741be2493e99297e9ad67bb1aa85b,3,Cryptovoxels
0x00668bd79ede077b99bbe1c4db59418bc333d4cf,0x7103a727dd976fcb389921ceb148d2ea03e484b6,3,Cryptovoxels
0x00668bd79ede077b99bbe1c4db59418bc333d4cf,0x738c072a12c6647bd12a940728bdebf94ba224ab,1,Cryptovoxels
0x00668bd79ede077b99bbe1c4db59418bc333d4cf,0x9f0574a5f28779a1a682cfe4bbd090ee058d07aa,2,Cryptovoxels
0x00668bd79ede077b99bbe1c4db59418bc333d4cf,0xa0f939965e18e969ddabab056e81dae2e2e7df4d,1,Cryptovoxels
0x00668bd79ede077b99bbe1c4db59418bc333d4cf,0xab48edd90bdf367d326d827758bacd2460c59d17,2,Cryptovoxels
0x00668bd79ede077b99bbe1c4db59418bc333d4cf,0xc8cce8cac93a010b02e3b7e4e083b0465b1d36f2,1,Cryptovoxels
0x00668bd79ede077b99bbe1c4db59418bc333d4cf,0xdc69232a4d11979c6ce1b71e31bcd6d3854d02f0,1,Cryptovoxels
0x00668bd79ede077b99bbe1c4db59418bc333d4cf,0xebf02c6e12c3ee119abba161c40bfeead0a06b15,1,Cryptovoxels
0x00668bd79ede077b99bbe1c4db59418bc333d4cf,0xf282bfa0d576999dc2c4600d5af7ae6ea87fe369,2,Cryptovoxels
0x00668bd79ede077b99bbe1c4db59418bc333d4cf,0xfb60bbae6896fc36b1db29e1a0dacaf21aa96fa5,1,Cryptovoxels
0x007880443b595eb375ab6b6566ad9a52630659ff,0x2d891ed45c4c3eab978513df4b92a35cf131d2e2,1,Cryptovoxels
0x007880443b595eb375ab6b6566ad9a52630659ff,0x90f440e449c47f4caf78c62c131dfc38ab491d4a,1,Cryptovoxels
0x007880443b595eb375ab6b6566ad9a52630659ff,0x9af481276b075e036bc23e887a8bd275e69ef74c,1,Cryptovoxels
0x007d0a1c5b36062fc127a58e5329e8d7cd8a637e,0x2d891ed45c4c3eab978513df4b92a35cf131d2e2,1,Cryptovoxels
0x007f44362400de9f364efa919ff84c6ea9e210d5,0x7d56867ae0fd8de19f8caa03e62fc8d95d0c065b,1,Cryptovoxels
0x007f44362400de9f364efa919ff84c6ea9e210d5,0xfad0ea578c6c63fe495dc0ef9cf73fc2c69e1f47,1,Cryptovoxels
0x008e8548e8c70550fcc8abf7c8bf77e0587a73b3,0x4da725d81911dc6b452a79eacbe8e2df7ab4ca49,1,Cryptovoxels
0x00a2ddfa736214563cea9aef5100f2e90c402918,0x010215b77f65e3f8d1fee2194b80ae4c4fc73c95,1,Cryptovoxels
0x00a2ddfa736214563cea9aef5100f2e90c402918,0x223edbc8166ba1b514729261ff53fb8c73ab4d79,1,Cryptovoxels
0x00a2ddfa736214563cea9aef5100f2e90c402918,0x2da45f85a969cf49103ad4283c821705ca2e7759,1,Cryptovoxels
0x00a2ddfa736214563cea9aef5100f2e90c402918,0x63244b5f1ebcb999ea012da652dffee6653bf8f5,1,Cryptovoxels
0x00a2ddfa736214563cea9aef5100f2e90c402918,0x65c671aa1653a28bc6d16c31a4597ed677fff45d,1,Cryptovoxels
0x00a2ddfa736214563cea9aef5100f2e90c402918,0x7103a727dd976fcb389921ceb148d2ea03e484b6,1,Cryptovoxels
0x00a2ddfa736214563cea9aef5100f2e90c402918,0x73b4437a4b3e43de673836107437e4f092a363e0,1,Cryptovoxels
