Seller_address,Buyer_address,edge_value,Collection
0x00084121aec4309cb20db622a28c717720e888e0,0x96236adb640ec620a85898378375cedf03ca21ff,1,Cyberkongz
0x00084121aec4309cb20db622a28c717720e888e0,0xb810d1238dc5e5d664ebc5d19b0fd2c28d42968d,1,Cyberkongz
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,0x3eb39c50d4ecb5149ab71802f1f8e92f7a1280d1,1,Cyberkongz
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,0x4202c5aa18c934b96bc4aedb3da4593c44076618,1,Cyberkongz
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,0x5fd36a4a4bcfe5ea059706a6a09c26b62be4059a,1,Cyberkongz
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,0x6ed450e062c20f929cb7ee72fcc53e9697980a18,1,Cyberkongz
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,0x721931508df2764fd4f70c53da646cb8aed16ace,2,Cyberkongz
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,0x8ed5003d47e6b8a7024ef9cee90403ed786b151e,1,Cyberkongz
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,0xa2548e7ad6cee01eeb19d49bedb359aea3d8ad1d,10,Cyberkongz
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,0xc37cd5e34ef273f6aefe6900fc9d75563cdcfe03,4,Cyberkongz
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,0xe794fde22aac93e0071483bc814d73655d42bba3,1,Cyberkongz
0x0068e91105b0d2c52de69c6efb6329b66b1cdac5,0xa2548e7ad6cee01eeb19d49bedb359aea3d8ad1d,1,Cyberkongz
0x00f5fcb6ba6fc28e95ab9572f432d452292b66f4,0x0927661d9790d58087f045c2e84aa38024365a91,1,Cyberkongz
0x00f5fcb6ba6fc28e95ab9572f432d452292b66f4,0x0f8dcfff4f826c15601b62ac771d804699b3886c,1,Cyberkongz
0x010cea5688812eb04a1cdc259d679dc9fc3734ff,0x88923378021bea85f9b09ce571a309e12c7d2262,1,Cyberkongz
0x010cea5688812eb04a1cdc259d679dc9fc3734ff,0xd71a41ec000089ae99873afb4d15cc7d54dd95bc,1,Cyberkongz
0x02b31016fb9054d6fb622d214a77e568f2d723c5,0xd543a0be0684f0556786586b83f4c9fd16a4dc35,1,Cyberkongz
0x03009898ffd3361bb6b02b77d655f196ec82865e,0x793acdce9db7bc3269513652923d543b4818e817,1,Cyberkongz
0x0355e6d75261199fd78e1faba4e59bf6fe31dfe8,0x4202c5aa18c934b96bc4aedb3da4593c44076618,1,Cyberkongz
0x04613b96e9fc6b40bc795fff0bb5631c150ea5cb,0x26c1e466ce41070585d6876dc17b7bd9295c41d5,1,Cyberkongz
0x04613b96e9fc6b40bc795fff0bb5631c150ea5cb,0x62391b370a4761f7087f83d9d2c8d7bfa91036ab,1,Cyberkongz
0x04613b96e9fc6b40bc795fff0bb5631c150ea5cb,0xa2548e7ad6cee01eeb19d49bedb359aea3d8ad1d,2,Cyberkongz
0x04613b96e9fc6b40bc795fff0bb5631c150ea5cb,0xcc47fcbfdd6e558fb39cf5ef4d92e59890476b86,1,Cyberkongz
0x04bfb0034f24e424489f566f32d1f57647469f9e,0x24f05d116a8435ccc406cdf30c02394ae7a5b61f,1,Cyberkongz
0x04bfb0034f24e424489f566f32d1f57647469f9e,0xad9f11d1dd6d202243473a0cdae606308ab243b4,1,Cyberkongz
