,date,count
0,02/11/2020,387
1,11/03/2021,7290
2,06/04/2021,9915
3,07/04/2021,15377
4,08/04/2021,24900
5,09/04/2021,24632
6,10/04/2021,32101
7,11/04/2021,35715
8,12/04/2021,33306
9,13/04/2021,27506
10,14/04/2021,32672
11,15/04/2021,42008
12,16/04/2021,35174
13,17/04/2021,40019
14,18/04/2021,44877
15,19/04/2021,41099
16,20/04/2021,40908
17,21/04/2021,42113
18,22/04/2021,57288
19,23/04/2021,53758
20,24/04/2021,62709
21,25/04/2021,85130
22,26/04/2021,87986
23,27/04/2021,101897
