,date,count
0,9/8/2018,1
1,9/10/2018,1
2,9/20/2018,1
3,10/27/2018,2
4,11/13/2018,1
5,6/21/2019,15
6,7/16/2019,6
7,8/2/2019,18
8,8/26/2019,15
9,9/6/2019,16
10,9/7/2019,7
11,9/8/2019,8
12,9/11/2019,14
13,9/13/2019,13
14,9/14/2019,16
15,9/16/2019,14
16,9/18/2019,5
17,9/22/2019,18
18,9/24/2019,15
19,9/25/2019,9
20,9/27/2019,11
21,9/28/2019,18
22,9/29/2019,7
23,10/1/2019,16
24,10/8/2019,288
25,12/19/2019,330
26,6/30/2020,14
27,7/1/2020,16
28,7/3/2020,18
29,7/10/2020,278
30,7/11/2020,234
31,8/23/2020,2498
32,9/22/2020,317
33,10/27/2020,967
34,10/30/2020,842
35,10/31/2020,970
36,11/8/2020,972
37,11/9/2020,853
38,11/10/2020,1360
39,11/11/2020,1280
40,11/12/2020,1389
41,11/13/2020,1351
42,11/14/2020,1643
43,11/15/2020,1813
44,11/16/2020,1345
45,11/17/2020,1023
46,11/18/2020,1085
47,11/19/2020,1581
48,11/20/2020,1004
49,11/21/2020,914
50,11/22/2020,988
51,11/27/2020,1153
52,11/28/2020,1211
53,11/29/2020,1126
54,12/2/2020,1081
55,12/4/2020,805
56,12/5/2020,983
57,12/6/2020,1097
58,12/7/2020,939
59,12/8/2020,1042
60,12/9/2020,950
61,12/10/2020,1070
62,12/11/2020,949
63,12/12/2020,1257
64,12/13/2020,1193
65,12/14/2020,902
66,12/17/2020,269
67,12/19/2020,822
68,12/20/2020,953
69,12/30/2020,276
70,12/31/2020,304
71,1/3/2021,247
72,1/13/2021,242
73,2/14/2021,279
74,2/16/2021,237
75,2/17/2021,262
76,2/20/2021,231
77,2/22/2021,254
78,2/24/2021,299
79,2/25/2021,312
80,3/19/2021,945
81,3/20/2021,826
82,4/14/2021,289
83,4/16/2021,309
84,4/19/2021,235
85,4/21/2021,310
86,4/23/2021,319
