,count,date
0,12/5/2018,17
1,12/13/2018,17
2,12/18/2018,17
3,1/3/2019,17
4,1/11/2019,509
5,1/19/2019,17
6,1/22/2019,1211
7,1/23/2019,1181
8,2/16/2019,308
9,2/19/2019,17
10,3/2/2019,17
11,3/13/2019,17
12,6/7/2019,17
13,2/18/2020,133
14,2/19/2020,134
15,2/20/2020,227
16,2/21/2020,247
17,2/22/2020,348
18,2/23/2020,541
19,2/24/2020,468
20,2/25/2020,552
21,2/26/2020,474
22,2/27/2020,393
23,2/28/2020,382
24,2/29/2020,408
25,3/1/2020,342
26,3/2/2020,321
27,3/3/2020,153
28,3/4/2020,117
29,3/5/2020,130
30,4/7/2020,17
31,4/15/2020,171
32,4/17/2020,119
33,5/11/2020,17
34,5/19/2020,17
35,4/17/2021,17
36,4/22/2021,17
