,date,count
0,3/30/2020,30
1,4/3/2020,25
2,4/8/2020,24
3,4/15/2020,22
4,4/19/2020,28
5,4/24/2020,30
6,4/25/2020,23
7,4/26/2020,24
8,4/27/2020,50
9,4/28/2020,52
10,5/1/2020,22
11,5/7/2020,56
12,5/10/2020,29
13,5/15/2020,22
14,5/17/2020,67
15,5/27/2020,19
16,6/12/2020,21
17,6/13/2020,19
18,6/28/2020,35
19,6/29/2020,19
20,6/30/2020,32
21,7/2/2020,19
22,7/5/2020,20
23,7/6/2020,21
24,7/7/2020,39
25,7/9/2020,20
26,7/11/2020,34
27,7/13/2020,31
28,7/15/2020,27
29,7/17/2020,34
30,7/20/2020,49
31,7/21/2020,68
32,7/22/2020,45
33,7/27/2020,46
34,7/29/2020,63
35,7/30/2020,56
36,8/1/2020,57
37,8/2/2020,56
38,8/3/2020,42
39,8/4/2020,48
40,8/12/2020,44
41,8/13/2020,61
42,8/30/2020,56
43,8/31/2020,28
44,9/9/2020,1379
45,10/11/2020,964
46,10/16/2020,914
47,10/17/2020,765
48,10/18/2020,1214
49,10/19/2020,1197
50,10/21/2020,795
51,10/23/2020,774
52,10/25/2020,1078
53,10/26/2020,808
54,11/1/2020,909
55,11/17/2020,207
56,11/19/2020,226
57,11/26/2020,1707
58,11/30/2020,193
59,12/8/2020,256
60,12/11/2020,326
61,12/15/2020,254
62,12/16/2020,294
63,12/22/2020,249
64,12/24/2020,291
65,12/25/2020,212
66,12/26/2020,298
67,12/27/2020,305
68,12/31/2020,198
69,1/1/2021,303
70,1/2/2021,210
71,1/4/2021,55
72,1/5/2021,67
73,1/10/2021,217
74,1/11/2021,63
75,1/12/2021,195
76,1/17/2021,221
77,1/24/2021,201
78,1/28/2021,212
79,2/4/2021,66
80,2/6/2021,237
81,2/7/2021,262
82,2/11/2021,256
83,2/12/2021,323
84,2/21/2021,770
85,2/26/2021,804
86,2/27/2021,929
87,2/28/2021,932
88,3/1/2021,1000
89,3/2/2021,1000
90,3/3/2021,969
91,3/4/2021,1465
92,3/5/2021,1036
93,3/6/2021,1279
94,3/7/2021,1019
95,3/8/2021,883
96,3/9/2021,1030
97,3/10/2021,1144
98,3/11/2021,1212
99,3/12/2021,1207
100,3/13/2021,1265
101,3/14/2021,1543
102,3/15/2021,965
103,3/16/2021,1020
104,3/17/2021,1270
105,3/18/2021,1398
106,3/19/2021,1530
107,3/20/2021,1546
108,3/21/2021,1350
109,3/22/2021,841
110,3/23/2021,998
111,3/24/2021,804
112,3/25/2021,857
113,3/26/2021,1048
114,3/27/2021,1116
115,3/28/2021,1098
116,4/2/2021,758
117,4/3/2021,975
118,4/4/2021,990
119,4/9/2021,802
120,4/10/2021,931
121,4/12/2021,814
122,4/19/2021,237
123,4/20/2021,215
124,4/24/2021,779
125,4/25/2021,886
