Seller_address,Buyer_address,edge_value,Collection
0x0002fd0f1d0708fdf065d3625b2ee83d210d58d9,0x6e83c7900b586431c305e3472517fb569dfcdeaa,1,Decentraland
0x00077485e6ce60531f9766726141fa3debbcdcac,0x3ef53182ae5daa6b10eb1027cb6a90eea3157cbb,1,Decentraland
0x0008671fdef3b7d71c40dc95acb255a0e825d6a2,0x2968a9e909946c79c9d9967dc05d22548d06efef,1,Decentraland
0x00252c96e0a7d321d92004a6dd94c54bbaaf8b6f,0x284533614b2155609ae3aa4d78f3deb5783c5af3,1,Decentraland
0x00252c96e0a7d321d92004a6dd94c54bbaaf8b6f,0xa9ac72e3bbd107ec40546fc1c68c5e40fc7a9dd9,1,Decentraland
0x002f9caf40a444f20813da783d152bdfaf42852f,0x0c1cc12037bc7ab4e66f0905f7638bf4de3b99b9,2,Decentraland
0x002f9caf40a444f20813da783d152bdfaf42852f,0x353938c837eea7d6ac35f5fece269681c0cc222c,1,Decentraland
0x002f9caf40a444f20813da783d152bdfaf42852f,0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92,1,Decentraland
0x002f9caf40a444f20813da783d152bdfaf42852f,0xaaa74e7883bfea5057d211a9343d186eeca4e64e,1,Decentraland
0x002f9caf40a444f20813da783d152bdfaf42852f,0xebf2626467ea52a3439e070c41292bf7843da367,1,Decentraland
0x003c52a71c887461087154eccced08cb1c5384a5,0xd5e9ef1cedad0d135d543d286a2c190b16cbb89e,1,Decentraland
0x0042000f3dde458bc95880565ad5a4981ff1122e,0xa7c60ee5c707d4bd67319c17745851b42a2e4578,1,Decentraland
0x004212beea35a09bb77d253f1032630fc66acfbe,0xfa1b79782f3a5cb0238a6723f05b63e6a75731b1,1,Decentraland
0x00432f1dc13d6d83fde049e44e6b3ce9667573bc,0x1eb3ce5b0f38c0b2ae1200fe43d41d5011ffa899,1,Decentraland
0x00432f1dc13d6d83fde049e44e6b3ce9667573bc,0xdfc3ea86f9a04e9a1508a211dc15a99b27baddf9,1,Decentraland
0x00432f1dc13d6d83fde049e44e6b3ce9667573bc,0xecc65a2491c96117ef04dddf6532ff2456ad7a22,1,Decentraland
0x0045233ce371ebd5797cb9ab859e14df0d6fe29b,0x20468255201d4c4d6b8af2bd0f798043a48cddd7,1,Decentraland
0x0045233ce371ebd5797cb9ab859e14df0d6fe29b,0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92,1,Decentraland
0x0045233ce371ebd5797cb9ab859e14df0d6fe29b,0x88bd0b4026af3bc601fff74ed4798b0388406310,1,Decentraland
0x004fbf90d8804a51a3edc0b48b3a617947ad4652,0xac097c7e31a2add6244a0f36dba5776d04f5a3fc,1,Decentraland
0x0052eecbba7933cdcfe42ba68d36c5834dbba83c,0x584fa9a65a1a70173dcb0fa2f8b80c95a817fade,2,Decentraland
0x005c25473bf2367aa821a7072332820ac9902547,0x05c351382db8d770207f319d96ac1184c3717ede,1,Decentraland
0x005c25473bf2367aa821a7072332820ac9902547,0x43fcc4d6d672c4170b101ce8a450c301f92c42a3,1,Decentraland
0x005c25473bf2367aa821a7072332820ac9902547,0x5223ecb6df713f7e5f9c6b5fc80446fd7b22c6b9,1,Decentraland
