,Collection,Collection_cleaned,Datetime_updated,sales,prediction
0,Cryptokitties,Cryptokittie,2017-11-23 00:00:00,488.0,
1,Cryptokitties,Cryptokittie,2017-11-24 00:00:00,433.0,
2,Cryptokitties,Cryptokittie,2017-11-25 00:00:00,388.0,
3,Cryptokitties,Cryptokittie,2017-11-26 00:00:00,143.0,
4,Cryptokitties,Cryptokittie,2017-11-27 00:00:00,165.0,
5,Cryptokitties,Cryptokittie,2017-11-28 00:00:00,730.0,
6,Cryptokitties,Cryptokittie,2017-11-29 00:00:00,1399.0,
7,Cryptokitties,Cryptokittie,2017-11-30 00:00:00,2767.0,
8,Cryptokitties,Cryptokittie,2017-12-01 00:00:00,2717.0,
9,Cryptokitties,Cryptokittie,2017-12-02 00:00:00,4060.0,
10,Cryptokitties,Cryptokittie,2017-12-03 00:00:00,8146.0,
11,Cryptokitties,Cryptokittie,2017-12-04 00:00:00,11400.0,
12,Cryptokitties,Cryptokittie,2017-12-05 00:00:00,14090.0,
13,Cryptokitties,Cryptokittie,2017-12-06 00:00:00,12307.0,
14,Cryptokitties,Cryptokittie,2017-12-07 00:00:00,14885.0,
15,Cryptokitties,Cryptokittie,2017-12-08 00:00:00,15189.0,
16,Cryptokitties,Cryptokittie,2017-12-09 00:00:00,17300.0,
17,Cryptokitties,Cryptokittie,2017-12-10 00:00:00,18066.0,
18,Cryptokitties,Cryptokittie,2017-12-11 00:00:00,17062.0,
19,Cryptokitties,Cryptokittie,2017-12-12 00:00:00,13551.0,
20,Cryptokitties,Cryptokittie,2017-12-13 00:00:00,10300.0,
21,Cryptokitties,Cryptokittie,2017-12-14 00:00:00,10780.0,
22,Cryptokitties,Cryptokittie,2017-12-15 00:00:00,8940.0,
23,Cryptokitties,Cryptokittie,2017-12-16 00:00:00,9279.0,
24,Cryptokitties,Cryptokittie,2017-12-17 00:00:00,8613.0,
25,Cryptokitties,Cryptokittie,2017-12-18 00:00:00,6927.0,
26,Cryptokitties,Cryptokittie,2017-12-19 00:00:00,4880.0,
27,Cryptokitties,Cryptokittie,2017-12-20 00:00:00,2552.0,
28,Cryptokitties,Cryptokittie,2017-12-21 00:00:00,2999.0,
29,Cryptokitties,Cryptokittie,2017-12-22 00:00:00,3438.0,
30,Cryptokitties,Cryptokittie,2017-12-23 00:00:00,4257.0,
31,Cryptokitties,Cryptokittie,2017-12-24 00:00:00,3611.0,
32,Cryptokitties,Cryptokittie,2017-12-25 00:00:00,3250.0,
33,Cryptokitties,Cryptokittie,2017-12-26 00:00:00,2909.0,
34,Cryptokitties,Cryptokittie,2017-12-27 00:00:00,3042.0,
35,Cryptokitties,Cryptokittie,2017-12-28 00:00:00,3497.0,
36,Cryptokitties,Cryptokittie,2017-12-29 00:00:00,3146.0,
37,Cryptokitties,Cryptokittie,2017-12-30 00:00:00,2623.0,
38,Cryptokitties,Cryptokittie,2017-12-31 00:00:00,2771.0,
39,Cryptokitties,Cryptokittie,2018-01-01 00:00:00,2839.0,
40,Cryptokitties,Cryptokittie,2018-01-02 00:00:00,2650.0,
41,Cryptokitties,Cryptokittie,2018-01-03 00:00:00,1069.0,
42,Cryptokitties,Cryptokittie,2018-01-04 00:00:00,687.0,
43,Cryptokitties,Cryptokittie,2018-01-05 00:00:00,495.0,
44,Cryptokitties,Cryptokittie,2018-01-06 00:00:00,746.0,
45,Cryptokitties,Cryptokittie,2018-01-07 00:00:00,1183.0,
46,Cryptokitties,Cryptokittie,2018-01-08 00:00:00,887.0,
47,Cryptokitties,Cryptokittie,2018-01-09 00:00:00,489.0,
48,Cryptokitties,Cryptokittie,2018-01-10 00:00:00,415.0,
49,Cryptokitties,Cryptokittie,2018-01-11 00:00:00,562.0,
50,Cryptokitties,Cryptokittie,2018-01-12 00:00:00,947.0,
51,Cryptokitties,Cryptokittie,2018-01-13 00:00:00,1016.0,
52,Cryptokitties,Cryptokittie,2018-01-14 00:00:00,1280.0,
53,Cryptokitties,Cryptokittie,2018-01-15 00:00:00,630.0,
54,Cryptokitties,Cryptokittie,2018-01-16 00:00:00,684.0,
55,Cryptokitties,Cryptokittie,2018-01-17 00:00:00,911.0,
56,Cryptokitties,Cryptokittie,2018-01-18 00:00:00,1243.0,
57,Cryptokitties,Cryptokittie,2018-01-19 00:00:00,1427.0,
58,Cryptokitties,Cryptokittie,2018-01-20 00:00:00,1552.0,
59,Cryptokitties,Cryptokittie,2018-01-21 00:00:00,1296.0,
60,Cryptokitties,Cryptokittie,2018-01-22 00:00:00,1275.0,
61,Cryptokitties,Cryptokittie,2018-01-23 00:00:00,1110.0,
62,Cryptokitties,Cryptokittie,2018-01-24 00:00:00,1144.0,
63,Cryptokitties,Cryptokittie,2018-01-25 00:00:00,1025.0,
64,Cryptokitties,Cryptokittie,2018-01-26 00:00:00,1040.0,
65,Cryptokitties,Cryptokittie,2018-01-27 00:00:00,1350.0,
66,Cryptokitties,Cryptokittie,2018-01-28 00:00:00,1167.0,
67,Cryptokitties,Cryptokittie,2018-01-29 00:00:00,1091.0,
68,Cryptokitties,Cryptokittie,2018-01-30 00:00:00,981.0,
69,Cryptokitties,Cryptokittie,2018-01-31 00:00:00,860.0,
70,Cryptokitties,Cryptokittie,2018-02-01 00:00:00,527.0,
71,Cryptokitties,Cryptokittie,2018-02-02 00:00:00,960.0,
72,Cryptokitties,Cryptokittie,2018-02-03 00:00:00,919.0,
73,Cryptokitties,Cryptokittie,2018-02-04 00:00:00,880.0,
74,Cryptokitties,Cryptokittie,2018-02-05 00:00:00,754.0,
75,Cryptokitties,Cryptokittie,2018-02-06 00:00:00,837.0,
76,Cryptokitties,Cryptokittie,2018-02-07 00:00:00,996.0,
77,Cryptokitties,Cryptokittie,2018-02-08 00:00:00,1125.0,
78,Cryptokitties,Cryptokittie,2018-02-09 00:00:00,908.0,
79,Cryptokitties,Cryptokittie,2018-02-10 00:00:00,710.0,
80,Cryptokitties,Cryptokittie,2018-02-11 00:00:00,1138.0,
81,Cryptokitties,Cryptokittie,2018-02-12 00:00:00,960.0,
82,Cryptokitties,Cryptokittie,2018-02-13 00:00:00,1026.0,
83,Cryptokitties,Cryptokittie,2018-02-14 00:00:00,1672.0,
84,Cryptokitties,Cryptokittie,2018-02-15 00:00:00,1935.0,
85,Cryptokitties,Cryptokittie,2018-02-16 00:00:00,1424.0,
86,Cryptokitties,Cryptokittie,2018-02-17 00:00:00,1272.0,
87,Cryptokitties,Cryptokittie,2018-02-18 00:00:00,1094.0,
88,Cryptokitties,Cryptokittie,2018-02-19 00:00:00,1162.0,
89,Cryptokitties,Cryptokittie,2018-02-20 00:00:00,1156.0,
90,Cryptokitties,Cryptokittie,2018-02-21 00:00:00,970.0,
91,Cryptokitties,Cryptokittie,2018-02-22 00:00:00,1089.0,
92,Cryptokitties,Cryptokittie,2018-02-23 00:00:00,1313.0,
93,Cryptokitties,Cryptokittie,2018-02-24 00:00:00,2817.0,
94,Cryptokitties,Cryptokittie,2018-02-25 00:00:00,2884.0,
95,Cryptokitties,Cryptokittie,2018-02-26 00:00:00,2619.0,
96,Cryptokitties,Cryptokittie,2018-02-27 00:00:00,3138.0,
97,Cryptokitties,Cryptokittie,2018-02-28 00:00:00,2369.0,
98,Cryptokitties,Cryptokittie,2018-03-01 00:00:00,2457.0,
99,Cryptokitties,Cryptokittie,2018-03-02 00:00:00,2016.0,
100,Cryptokitties,Cryptokittie,2018-03-03 00:00:00,2090.0,
101,Cryptokitties,Cryptokittie,2018-03-04 00:00:00,1815.0,
102,Cryptokitties,Cryptokittie,2018-03-05 00:00:00,1620.0,
103,Cryptokitties,Cryptokittie,2018-03-06 00:00:00,2041.0,
104,Cryptokitties,Cryptokittie,2018-03-07 00:00:00,2243.0,
105,Cryptokitties,Cryptokittie,2018-03-08 00:00:00,2063.0,
106,Cryptokitties,Cryptokittie,2018-03-09 00:00:00,2089.0,
107,Cryptokitties,Cryptokittie,2018-03-10 00:00:00,2000.0,
108,Cryptokitties,Cryptokittie,2018-03-11 00:00:00,2045.0,
109,Cryptokitties,Cryptokittie,2018-03-12 00:00:00,2513.0,
110,Cryptokitties,Cryptokittie,2018-03-13 00:00:00,1533.0,
111,Cryptokitties,Cryptokittie,2018-03-14 00:00:00,1868.0,
112,Cryptokitties,Cryptokittie,2018-03-15 00:00:00,1595.0,
113,Cryptokitties,Cryptokittie,2018-03-16 00:00:00,1650.0,
114,Cryptokitties,Cryptokittie,2018-03-17 00:00:00,1696.0,
115,Cryptokitties,Cryptokittie,2018-03-18 00:00:00,1462.0,
116,Cryptokitties,Cryptokittie,2018-03-19 00:00:00,1474.0,
117,Cryptokitties,Cryptokittie,2018-03-20 00:00:00,1652.0,
118,Cryptokitties,Cryptokittie,2018-03-21 00:00:00,1742.0,
119,Cryptokitties,Cryptokittie,2018-03-22 00:00:00,1643.0,
120,Cryptokitties,Cryptokittie,2018-03-23 00:00:00,1755.0,
121,Cryptokitties,Cryptokittie,2018-03-24 00:00:00,1910.0,
122,Cryptokitties,Cryptokittie,2018-03-25 00:00:00,1425.0,
123,Cryptokitties,Cryptokittie,2018-03-26 00:00:00,1362.0,
124,Cryptokitties,Cryptokittie,2018-03-27 00:00:00,1439.0,
125,Cryptokitties,Cryptokittie,2018-03-28 00:00:00,1187.0,
126,Cryptokitties,Cryptokittie,2018-03-29 00:00:00,1066.0,
127,Cryptokitties,Cryptokittie,2018-03-30 00:00:00,1166.0,
128,Cryptokitties,Cryptokittie,2018-03-31 00:00:00,1371.0,
129,Cryptokitties,Cryptokittie,2018-04-01 00:00:00,1617.0,
130,Cryptokitties,Cryptokittie,2018-04-02 00:00:00,1542.0,
131,Cryptokitties,Cryptokittie,2018-04-03 00:00:00,1382.0,
132,Cryptokitties,Cryptokittie,2018-04-04 00:00:00,1274.0,
133,Cryptokitties,Cryptokittie,2018-04-05 00:00:00,1239.0,
134,Cryptokitties,Cryptokittie,2018-04-06 00:00:00,1657.0,
135,Cryptokitties,Cryptokittie,2018-04-07 00:00:00,1444.0,
136,Cryptokitties,Cryptokittie,2018-04-08 00:00:00,1515.0,
137,Cryptokitties,Cryptokittie,2018-04-09 00:00:00,1361.0,
138,Cryptokitties,Cryptokittie,2018-04-10 00:00:00,1207.0,
139,Cryptokitties,Cryptokittie,2018-04-11 00:00:00,1429.0,
140,Cryptokitties,Cryptokittie,2018-04-12 00:00:00,1519.0,
141,Cryptokitties,Cryptokittie,2018-04-13 00:00:00,1859.0,
142,Cryptokitties,Cryptokittie,2018-04-14 00:00:00,1710.0,
143,Cryptokitties,Cryptokittie,2018-04-15 00:00:00,1695.0,
144,Cryptokitties,Cryptokittie,2018-04-16 00:00:00,1638.0,
145,Cryptokitties,Cryptokittie,2018-04-17 00:00:00,1609.0,
146,Cryptokitties,Cryptokittie,2018-04-18 00:00:00,1468.0,
147,Cryptokitties,Cryptokittie,2018-04-19 00:00:00,1336.0,
148,Cryptokitties,Cryptokittie,2018-04-20 00:00:00,1339.0,
149,Cryptokitties,Cryptokittie,2018-04-21 00:00:00,1416.0,
150,Cryptokitties,Cryptokittie,2018-04-22 00:00:00,1150.0,
151,Cryptokitties,Cryptokittie,2018-04-23 00:00:00,969.0,
152,Cryptokitties,Cryptokittie,2018-04-24 00:00:00,933.0,
153,Cryptokitties,Cryptokittie,2018-04-25 00:00:00,1063.0,
154,Cryptokitties,Cryptokittie,2018-04-26 00:00:00,1187.0,
155,Cryptokitties,Cryptokittie,2018-04-27 00:00:00,1384.0,
156,Cryptokitties,Cryptokittie,2018-04-28 00:00:00,1033.0,
157,Cryptokitties,Cryptokittie,2018-04-29 00:00:00,1093.0,
158,Cryptokitties,Cryptokittie,2018-04-30 00:00:00,910.0,
159,Cryptokitties,Cryptokittie,2018-05-01 00:00:00,963.0,
160,Cryptokitties,Cryptokittie,2018-05-02 00:00:00,963.0,
161,Cryptokitties,Cryptokittie,2018-05-03 00:00:00,1144.0,
162,Cryptokitties,Cryptokittie,2018-05-04 00:00:00,852.0,
163,Cryptokitties,Cryptokittie,2018-05-05 00:00:00,1083.0,
164,Cryptokitties,Cryptokittie,2018-05-06 00:00:00,1190.0,
165,Cryptokitties,Cryptokittie,2018-05-07 00:00:00,1322.0,
166,Cryptokitties,Cryptokittie,2018-05-08 00:00:00,1823.0,
167,Cryptokitties,Cryptokittie,2018-05-09 00:00:00,822.0,
168,Cryptokitties,Cryptokittie,2018-05-10 00:00:00,695.0,
169,Cryptokitties,Cryptokittie,2018-05-11 00:00:00,939.0,
170,Cryptokitties,Cryptokittie,2018-05-12 00:00:00,982.0,
171,Cryptokitties,Cryptokittie,2018-05-13 00:00:00,856.0,
172,Cryptokitties,Cryptokittie,2018-05-14 00:00:00,625.0,
173,Cryptokitties,Cryptokittie,2018-05-15 00:00:00,770.0,
174,Cryptokitties,Cryptokittie,2018-05-16 00:00:00,921.0,
175,Cryptokitties,Cryptokittie,2018-05-17 00:00:00,672.0,
176,Cryptokitties,Cryptokittie,2018-05-18 00:00:00,773.0,
177,Cryptokitties,Cryptokittie,2018-05-19 00:00:00,722.0,
178,Cryptokitties,Cryptokittie,2018-05-20 00:00:00,830.0,
179,Cryptokitties,Cryptokittie,2018-05-21 00:00:00,789.0,
180,Cryptokitties,Cryptokittie,2018-05-22 00:00:00,656.0,
181,Cryptokitties,Cryptokittie,2018-05-23 00:00:00,575.0,
182,Cryptokitties,Cryptokittie,2018-05-24 00:00:00,1017.0,
183,Cryptokitties,Cryptokittie,2018-05-25 00:00:00,1234.0,
184,Cryptokitties,Cryptokittie,2018-05-26 00:00:00,1264.0,
185,Cryptokitties,Cryptokittie,2018-05-27 00:00:00,1210.0,
186,Cryptokitties,Cryptokittie,2018-05-28 00:00:00,676.0,
187,Cryptokitties,Cryptokittie,2018-05-29 00:00:00,735.0,
188,Cryptokitties,Cryptokittie,2018-05-30 00:00:00,800.0,
